Y,X,ID,TYPE
41.119167, 16.882222,1,1
41.122500, 16.869444,2,1
41.124444, 16.864722,3,1
41.121389, 16.861389,4,1
41.125278, 16.867222,5,1
41.123333, 16.871667,6,1
41.121944, 16.871667,7,1
41.124167, 16.868611,8,1
41.111944, 16.871944,9,1
41.092500, 16.870000,10,1
41.118611, 16.842778,11,1
41.119722, 16.811111,12,1
41.115556, 16.810556,13,1
41.126667, 16.863056,14,1
41.125556, 16.874167,15,1
41.118333, 16.870000,16,2
41.118333, 16.890000,17,2
41.118889, 16.856389,18,2
41.112222, 16.862778,19,2
41.102500, 16.874722,20,2
41.120556, 16.869167,21,2
41.128056, 16.871944,22,2
41.127222, 16.867778,23,2
41.127222, 16.871667,24,2
41.130278, 16.869444,25,2
41.122500, 16.878056,26,2
